,company,company_location,review_date,country_of_bean_origin,specific_bean_or_bar_origin,cocoa_percent,ingredients,most_memorable_characteristics,rating,Rating Category,cocoa_percent_classification
0,5150,U.S.A.,2019,Tanzania,"Kokoa Kamili, batch 1",0.76,"3- B,S,C","rich cocoa, fatty, bready",3.25,Recommended,Bittersweet and Dark
1,5150,U.S.A.,2019,Madagascar,"Bejofo Estate, batch 1",0.76,"3- B,S,C","cocoa, blackberry, full body",3.75,Highly Recommended,Bittersweet and Dark
2,5150,U.S.A.,2019,Dominican Republic,"Zorzal, batch 1",0.76,"3- B,S,C","cocoa, vegetal, savory",3.5,Highly Recommended,Bittersweet and Dark
3,5150,U.S.A.,2021,Fiji,"Matasawalevu, batch 1",0.68,"3- B,S,C","chewy, off, rubbery",3.0,Recommended,Semi-sweet and Dark
4,5150,U.S.A.,2021,India,"Anamalai, batch 1",0.68,"3- B,S,C","milk brownie, macadamia,chewy",3.5,Highly Recommended,Semi-sweet and Dark
5,5150,U.S.A.,2021,Venezuela,"Sur del Lago, batch 1",0.72,"3- B,S,C","fatty, earthy, moss, nutty,chalky",3.0,Recommended,Bittersweet and Dark
6,5150,U.S.A.,2021,Uganda,"Semuliki Forest, batch 1",0.8,"3- B,S,C","mildly bitter, basic cocoa, fatty",3.25,Recommended,Bittersweet and Dark
7,A. Morin,France,2012,Bolivia,Bolivia,0.7,"4- B,S,C,L","vegetal, nutty",3.5,Highly Recommended,Bittersweet and Dark
8,A. Morin,France,2012,Peru,Peru,0.63,"4- B,S,C,L","fruity, melon, roasty",3.75,Highly Recommended,Semi-sweet and Dark
9,A. Morin,France,2013,Panama,Panama,0.7,"4- B,S,C,L","brief fruit note, earthy, nutty",2.75,Disapointing,Bittersweet and Dark
10,A. Morin,France,2013,Madagascar,"Madagascar, Criollo",0.7,"4- B,S,C,L","sticky, red fruit, sour",3.0,Recommended,Bittersweet and Dark
11,A. Morin,France,2013,Brazil,Brazil,0.7,"4- B,S,C,L",mild tobacco,3.25,Recommended,Bittersweet and Dark
12,A. Morin,France,2013,Ecuador,Equateur,0.7,"4- B,S,C,L","sandy, nutty, cocoa, fig",3.75,Highly Recommended,Bittersweet and Dark
13,A. Morin,France,2013,Colombia,Colombie,0.7,"4- B,S,C,L","burnt rubber,alkalyzed notes",2.75,Disapointing,Bittersweet and Dark
14,A. Morin,France,2013,Burma,Birmanie,0.7,"4- B,S,C,L","sticky, smokey, grass",3.0,Recommended,Bittersweet and Dark
15,A. Morin,France,2013,Papua New Guinea,Papua New Guinea,0.7,"4- B,S,C,L","mild fruit, strong smoke",3.25,Recommended,Bittersweet and Dark
16,A. Morin,France,2013,Venezuela,Chuao,0.7,"4- B,S,C,L","oily, nut, caramel, raspberry",4.0,Outstanding,Bittersweet and Dark
17,A. Morin,France,2013,Peru,Piura,0.7,"4- B,S,C,L","green, nutty, cocoa",3.25,Recommended,Bittersweet and Dark
18,A. Morin,France,2013,Peru,Chanchamayo Province,0.7,"4- B,S,C,L","cocoa,sour,intense tangerine",3.5,Highly Recommended,Bittersweet and Dark
19,A. Morin,France,2013,Peru,Chanchamayo Province,0.63,"3- B,S,C","sweet, cocoa, tangerine",4.0,Outstanding,Semi-sweet and Dark
20,A. Morin,France,2014,Venezuela,"Carenero, Criollo",0.7,"4- B,S,C,L","harsh, leather, earthy",2.75,Disapointing,Bittersweet and Dark
21,A. Morin,France,2014,Cuba,Cuba,0.7,"4- B,S,C,L","sliglty dry, papaya",3.5,Highly Recommended,Bittersweet and Dark
22,A. Morin,France,2014,Venezuela,"Sur del Lago, Criollo",0.7,"4- B,S,C,L","nutty, mild choco, roasty",3.5,Highly Recommended,Bittersweet and Dark
23,A. Morin,France,2014,Venezuela,"Puerto Cabello, Criollo",0.7,"4- B,S,C,L","astringent, nutty, chocolatey",3.75,Highly Recommended,Bittersweet and Dark
24,A. Morin,France,2014,Peru,Pablino,0.7,"4- B,S,C,L","delicate, hazelnut, brownie",4.0,Outstanding,Bittersweet and Dark
25,A. Morin,France,2015,Togo,Kpime,0.7,"4- B,S,C,L","burnt wood, earthy, choco",2.75,Disapointing,Bittersweet and Dark
26,A. Morin,France,2015,Togo,Atsane,0.7,"4- B,S,C,L","roasty, acidic, nutty",3.0,Recommended,Bittersweet and Dark
27,A. Morin,France,2015,Togo,Akata,0.7,"4- B,S,C,L","mild profile, chocolaty, spice",3.5,Highly Recommended,Bittersweet and Dark
28,A. Morin,France,2015,Peru,Quilla,0.7,"4- B,S,C,L","grainy texture, cocoa, sweet",3.5,Highly Recommended,Bittersweet and Dark
29,A. Morin,France,2016,Sao Tome,Agua Grande,0.63,"4- B,S,C,L","sweet, chocolatey, vegetal",3.75,Highly Recommended,Semi-sweet and Dark
30,A. Morin,France,2018,Venezuela,Porcelana,0.7,"4- B,S,C,L","alluring aroma, powdery,nutty",3.5,Highly Recommended,Bittersweet and Dark
31,A. Morin,France,2018,Peru,Absolu,0.63,"4- B,S,C,L","sweet, dairy, spice, cocoa",3.75,Highly Recommended,Semi-sweet and Dark
32,A. Morin,France,2021,Mexico,La Joya,0.7,"4- B,S,C,L","light color, fruit, yogurt",4.0,Outstanding,Bittersweet and Dark
33,A. Morin,France,2022,Indonesia,"Java, Arjuna",0.7,"3- B,S,C","smoke dominates, hint of fruit",3.75,Highly Recommended,Bittersweet and Dark
34,A. Morin,France,2022,Peru,Cusco,0.7,"3- B,S,C","green banana, roasty, cocoa",3.5,Highly Recommended,Bittersweet and Dark
35,A. Morin,France,2022,Bolivia,Ekeko,0.7,"4- B,S,C,L","woody, honey, leathery",2.75,Disapointing,Bittersweet and Dark
36,Acalli,U.S.A.,2015,Peru,"Chulucanas, El Platanal, batch 001",0.7,"2- B,S",yellow fruit,3.75,Highly Recommended,Bittersweet and Dark
37,Acalli,U.S.A.,2015,Peru,"Tumbes, Norandino",0.7,"2- B,S","intense, nutty, cherry, cocoa",3.75,Highly Recommended,Bittersweet and Dark
38,Acalli,U.S.A.,2020,Mexico,"Teapa, Tabasco, batch 2",0.74,"2- B,S","herbal, molasses, hammy",3.25,Recommended,Bittersweet and Dark
39,Acalli,U.S.A.,2020,Peru,"Barataria, El Plantal and Norandino Tumbes blend",0.7,"2- B,S","hot cocoa, rich, molasses",3.5,Highly Recommended,Bittersweet and Dark
40,Adi aka Fijiana (Easy In Ltd),Fiji,2011,Fiji,Vanua Levu,0.6,"3- B,S,C","sweet, sublte strawberry",2.75,Disapointing,Semi-sweet and Dark
41,Adi aka Fijiana (Easy In Ltd),Fiji,2011,Fiji,"Vanua Levu, Toto-A",0.8,"3- B,S,C",spicy and candy-like,3.25,Recommended,Bittersweet and Dark
